1,"{8059,8058,8057,8049,7654,7650,3714,3713,7653,4900,4898,4899,4901,10584,2954,2951,8084,7649,7655,1939,8056,8054,9876,3077,9263,2367,2369,2812,6101,4774,1485,9161,1480,1482,11917,11916,12196,11918,11919,6082,6084,6083,4767,6085,6086,1481,1479,1484,2368,3076,3078,2370,8053}"
2,"{10906,2460,10877,2451,10875,2453,10874,10890,10876,3838,2463,8517,6506,9248,851,10888,10925,6165,10923,10924,10316,10922,10920,10315,10921,1535,10544,3880,7138,6514,6395,3831,7145,9569,5525,6681,6162,2080,7246,7247,9568,10879,9570,6160,6161,11816,11570,10881,10339,9574,10926,10869,1417,822,6393,10887,10868,10864,6356,6355,8522,2290,8521,10226,10227,8526,1020,8519,7317,7316,10862,10861,7315,10892,7313,7312,8524,8520,7311,7314,5289,10895,10894,10896,1021,8523,8525,10867,3814}"
3,"{2182,2180,2183,5890,5891,6516,7629,3619,4013,4014,10974,1540,1537,3497,1538,4012,1493,7628,4011,4016,4010,2079,1539,464,2181,1579,10906,2460,10877,2451,10875,2453,10874,10890,10876,3838,2463,8517,6506,9248,851,3831,7145,7138,6514,6395,9569,9574,7144,7132,3880,10889,8525,8526,1020,8519,7317,7316,7315,10827,1279,8523}"
4,"{2153,3682,2452,9409,2233,10148,6816,10670,6813,10669,6814,2203,2458,2457,11714,9408,11716,11713}"
5,"{1094,12255,566,12257,1041,1039,1037,1040,5351,5352,3565,12183,12182,10286,13,5393,9920,9970,9968,7280,3256,10279,12424,9008,6153,998,2666,999,12396,6142,6124,6133,2665,6134,6132,2664,6126,6130,4510,6157,10748,6147,6146,6152,6151,351,6113,6112,473,472,6123,6128,6127,6639,3623,6114,6125,2609,6140,6141,5932,5931,352,353,348,1127,7016,6143,6156,1128,996,997}"
6,"{11765,10703,7413,9037,11100,11101,11164,9596,3114,9039,1549,1541,1550,1547,3117,1316,1290,1291,1389,10187,10188,11212,7605,8276,8274,8275,1208,1207,1615,12119,1289,1288,9606,10038,10039,3344,3334,3342,11077,3343,3339,3341,3332,3333,4132,5238,2939,11043,2269,2271,7631,9069,10020,10018,9070,2272,2270,2268,7785,7784,7783,2813,11526,11581,5418,5414,5419,5422,10986,10984,10985,5417,5421,5420,930,949,936,935,6779,2261,7478,952,7477,2258,5396,951,950,6780,7302,2814,6407,9071,8973,6399,8974,8972,11610,5031,5032,3000,11764,11102,11157,8781,2050,2491}"
7,"{5429,5434,2915,5433,10135,10146,3181,3180,11425,3961,12105,5635,5646,10821,5626,5912,5615,1751,11145,3612,5636,3611,5913,5648,5613,2289,5647,3440,2743,5644,11735,10331,569,6313,3576,8757,5628,5885,4506,7479,629,1782,4113,8090,5620,5617,6228,2584,2757,3578,2758,5638,5641,400,4519,9385,7990,1091,5614,8793,8792,8794,4114,9593,5643,8758,401,4517,5631,5642,4841,9695,1882,1859,92,4924,5159,4109,2620,2619,10303,10345,7872,9111,340,4124,11234,11232,7254,1226,567,1658}"
8,"{1095,3110,1094,12255,566,12257,1041,1038,1040,9868,5351,5352,3565,12184,10285,13,5393,9920,9970,9968,7280,3256,4921,10280,9008,6153,998,2666,999,12396,6142,6124,6133,2665,6134,6132,2664,2667,6122,5793,2858,10822,6126,6130,4510,6157,10748,6147,6146,6152,6151,351,6113,6112,473,472,6123,6128,6127,6639,3623,6114,6125,996,997,6140,6141,5932,5931,352,353,348,1127,6156,1128,6135,6115,5714,10739,7563,6973}"
9,"{10906,2460,10877,2451,10875,2453,10874,10890,10876,3838,2463,8517,7144,7132,7140,3815,1032,3816,7139,1033,10076,7142,7141,10124,7143,7024,7023,1190,7310,3833,7328,1160,10863,2107,3826,2106,3827,5290,10897,8166,5997,5998,4558,6014,6003,8209,1462,7490,4619,4625,4620,1292,4624,11317,11238,8194,11727,8191,10871,11872,11178,11869,10593,10596,10594,1765,9306,10809,10908,9532,9535,3212,3295,12106,11846,12107,4000,5104,5105,462,5107,3302,3301,2004,2005,2598,7226,7229,7227,7272,2006}"
10,"{8344,8319,8317,8328,8327,8329,8349,8348,10613,10614,6061,8333,8358,5398,1367,8325,2314,8347,9649,10842,8324,2021,6283,7279,6284,925,6649,8338,9552,4295,4240,8282,4294,11342,8260,10420,3737,9928,1688,11743,11742,11744,9757,3734,2189,644,6542,3730,9749,11288,3729,9750,3728,9751,9753,3731,3727,6258,9926,1419,9739,5914,9729,9934,1421,9932,9935,1420,3739,3740,9929,9922,10773,1959,10094,4425,3844,6459,6452,8969,4426,4118,12251,12252,9106,3968,3971,3969,3972,3970,3081,3966,7958,7951,7959,3923,12208,12209,10591,10590,10592,5245,10588,12214,10589,12230,12213,11296,3998,12212,5537,5538,6062,6652,1675,12228,5044,5045,12353,1342,3925,3930,8072,1684,1682,12229,30,2085,8079,8171,6048,6044,6045,8161,8172,8167,8639,7151,8073,8077,8082,8081,8075,3562,133,134,2527,3967,9,7113,2534,8076,8074}"
